Rank ,Item 
1,Terraforming Mars
2,Nemesis
3,The Castles of Burgundy
4,Feed the Kraken
5,Dune: War for Arrakis
6,Return to Dark Tower
7,Five Tribes: The Djinns of Naqala
8,Barrage
9,Gloomhaven
10,Marco Polo II: In the Service of the Khan
11,Mage Knight: Ultimate Edition
12,Anachrony
13,Last Aurora
14,Nanty Narking
15,Harmonies
16,Sagrada
