NameEng,NameRus,TeseraName,ParentEngName
Meadow,Поляна,meadow,
Meenakshi Temple,Храм Минакши,khram-minakshi,
Messina 1347,Мессина 1347,messina-1347,
MicroMacro: Crime City – Full House,МикроМакро: Город улик. Надземка,micromacro-full-house-nadzemka,
Mind MGMT: The Psychic Espionage “Game.”,Mind MGMT. Управление «Разум»,mind-mgmt-the-psychic-espionage-game,
Monopoly,Монополия,monopoly-board-game-monopoliya-nastolnaya-igra-na-anglyskom,
Murano: Light Masters,Мурано: мастера света,murano-light-masters,
My Shelfie,По полочкам,my-shelfie,
Mysthea,,mysthea,
Nanty Narking,Нанти Наркинг,nanty-narking,
Nemesis,Немезида,nemesis,
New York Zoo,Зоопарк Нью-Йорка,new-york-zoo,
Niagara,Ниагара,niagara,
Nidavellir,Нидавеллир,nidavellir,
NOIR: Deductive Mystery Game,Нуар,noir,
Not Alone,Чужая планета,not-alone,
Nusfjord,Нусфьорд,nusfjord,
On Mars,На Марсе,mars,
Oriflamme,Орифламма,oriflamme,
Orléans,Орлеан,orleans,
Paladins of the West Kingdom,Паладины западного королевства,paladins-of-the-west-kingdom,
Pampero,Памперо,Pampero,
Pandemic,Пандемия,Pandemic,
Paris: La Cité de la Lumière,Париж. Город огней,paris,
Passengers,Пассажиры,passengers,
Planet Unknown,Неизвестная планета,planet-unknown,
Port Royal: Big Box,Порт Ройал: Полное издание,port-royal-big-box,
Post Office,Почта,pochta,
Praga Caput Regni,Прага: Сердце империи,praga-caput-regni,
Project: ELITE,Проект: Элита,project-elite-2020,
Prêt-à-Porter,Прет-а-Порте,Pret-a-Porter,
Pyramido,Пирамиды,pyramido,
Ra,Ра,ra-25th,
Radlands,Radlands. Земля руин,radlands,
Rats of Wistar,Побег из Вистара,rats-of-wistar,
Re;ACT - The Arts of War,Re;Act: Арена искусств,ReACT,
Red Rising,Алое восстание,red-rising,
Res Arcana,Рес Аркана,Res-Arcana,
Return to Dark Tower,Возвращение в Тёмную башню,Return-to-Dark-Tower,
Revive,Проект Возрождение,revive,
Riftforce,Riftforce. Битва Стихий,riftforce,
Ryozen,Рёдзен,ryozen,
Sabika,Сабика,sabika,
Sagrada,Саграда,sagrada,
Santa Maria,Санта-Мария,Santa-Maria,
Santa Monica,Санта-Моника,santa-monica,
ScandalOh!,Скандал!,ScandalOh,
Scythe,Серп,scythe,
Sea Salt & Paper,"Море, соль, бумага",sea-salt-paper,
Shards of Infinity,Осколки Бесконечности,Shards-of-Infinity,
Shinkansen: Zero-Kei,Синкансэн: Зеро-Кей,Shinkansen-Zero-Kei,
Sky Team,Крутое пике,sky-team,
Small World,Маленький мир,small-world,
Smartphone Inc.,Корпорация смартфон,korporatsiya-smartfon,
Space Base,Космобаза,space-base,
Space Bureau,Космобюро,kosmobyuro,
Spartacus: A Game of Blood and Treachery,Спартак,Spartacus-A-Game-of-Blood-and-Treachery,
Splendor Duel,Роскошь. Дуэль,splendor-duel,
Spots,Косточки,spots,
Star Realms,Звездные империи,star-realms-deluxe-edition,
Stone Age,Каменный век,stone-age,
Suburbia + Inc.,Пригород,suburbia-2nd,
Survive: Escape from Atlantis!,Последний день Атлантиды,survive-30th-anniversary-edition,
Sword & Sorcery,Клинок и Колдовство,Sword-and-Sorcery,
Takenoko,Такеноко,Takenoko,
Takenoko: Chibis,Такеноко: Крошка-панда,takenoko-chibis,Takenoko
Tales of Tails,Подземелья и песики,podzemelya-i-pesiki,
Terraforming Mars,Покорение Марса,terraforming-mars,
Terraforming Mars: Ares Expedition,Покорение Марса: Экспедиция "Арес",terraforming-mars-ares-expedition,
The Castles of Burgundy,Замки Бургундии,the-castles-of-burgundy-2019,
The Fox Experiment,Эксперимент. Домашние Лисы,the-fox-experiment,
The Gallerist,Галерист,gallerist,
The Isle of Cats,Остров кошек,The-Isle-of-Cats,
The Quacks of Quedlinburg,Шарлатаны из Кведлинбурга,die-quacksalber-von-quedlinburg,
The Quest for El Dorado,В поисках Эльдорадо,quest-el-dorado,
The Red Cathedral,Красный собор,the-red-cathedral,
The Search for Planet X,Поиски планеты X,the-search-for-planet-x,
The Taverns of Tiefenthal,Таверны Тифенталя,Die-Tavernen-im-Tiefen-Thal,
The White Castle,Белый замок,the-white-castle,
Three Sisters,Три сестры,three-sisters,
Ticket to Ride: Europe – 15th Anniversary,Ticket to Ride: Европа. Юбилейное издание,TickettoRideEurope15thAnniversary,
Ticket to Ride: Europe,Ticket to Ride: Европа,ticket-ride-europe,
Ticket to Ride: Nordic Countries,Ticket to Ride: Северные страны,ticket-to-ride-nordic-countries,
Tiny Towns,Крошечные города,tiny-towns,
Tiwanaku,Тиуанако,tiwanaku,
Tokyo Ghoul: Bloody Masquerade,,,
Trapwords,Опасные слова,Trapwords,
Troyes,Труа,troyes,
Turing Machine,Машина Тьюринга,turing-machine,
Twilight Struggle,Сумеречная борьба,twilight-struggle,
Tyrants of the Underdark: Board Game,Тираны подземья,Tyrants-of-the-Underdark,
Unconscious Mind,Бессознательное,unconscious-mind,
Undaunted: Normandy,Неустрашимые: Нормандия,Undaunted-Normandy,
Underwater Cities,Подводные города,underwater-cities,
Unfair,Unfair (Русское издание),unfair,
"Unmatched: Battle of Legends, Volume One",Unmatched: Битва Легенд. Том первый,Unmatched-Battle-of-Legends-Volume-1,
"Unmatched: Battle of Legends, Volume Two",Unmatched: Битва Легенд. Том первый,unmatched-battle-of-legends-volume-two,"Unmatched: Battle of Legends, Volume One"
"Unmatched: Hell's Kitchen",,unmatched-hells-kitchen,"Unmatched: Battle of Legends, Volume One"
"Unmatched: Sun's Origin",Unmatched: Родина Солнца,unmatched-suns-origin,"Unmatched: Battle of Legends, Volume One"
Unmatched: Brains and Brawn,,unmatched-brains-and-brawn,"Unmatched: Battle of Legends, Volume One"
Unmatched: Cobble & Fog,Unmatched: Туман над мостовой,UnmatchedCF,"Unmatched: Battle of Legends, Volume One"
Unmatched: For King and Country,,unmatched-for-king-and-country,"Unmatched: Battle of Legends, Volume One"
Unmatched: Houdini vs. The Genie,Unmatched: Гудини vs. Джинн,Unmatched13,"Unmatched: Battle of Legends, Volume One"
Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex,,unmatched-jurassic-park-sattler-vs-t-rex,"Unmatched: Battle of Legends, Volume One"
Unmatched: Jurassic Park – InGen vs Raptors,,unmatched-jurassic-park,"Unmatched: Battle of Legends, Volume One"
Unmatched: Little Red Riding Hood vs. Beowulf,Unmatched: Красная Шапочка vs. Беовульф,unmatched-little-red-riding-hood-vs-beowulf,"Unmatched: Battle of Legends, Volume One"
Unmatched: Redemption Row,,unmatched-redemption-row,"Unmatched: Battle of Legends, Volume One"
Unmatched: Robin Hood vs. Bigfoot,Unmatched: Робин Гуд vs. Бигфут,Unmatched-Robin-Hood-vs-Bigfoot,"Unmatched: Battle of Legends, Volume One"
Unmatched: Slings and Arrows,Unmatched: Удары Судьбы,Unmatched-Slings-and-Arrows,"Unmatched: Battle of Legends, Volume One"
Unmatched: Teen Spirit,,unmatched-teen-spirit,"Unmatched: Battle of Legends, Volume One"
Verdant,Зеленый дом,verdant,
Village: Big Box,Летопись. Полное издание,village-big-box,
Vinhos: Deluxe Edition,Виньос,vinhos-deluxe-edition,
Viscounts of the West Kingdom,Виконты западного королевства,Viscounts,
Viticulture Essential Edition,Виноделие,viticulture-essential-edition,
Viticulture World: Cooperative Expansion,Виноделие. Мир виноделия,viticulture-world-cooperative-expansion,Viticulture Essential Edition
War Chest,Сундук войны,warchest,
Wayfarers of the South Tigris,Путешественники с южного Тигра,wayfarers-of-the-south-tigris,
Welcome to the Moon,Добро пожаловать на Луну,welcome-to-the-moon,
Wild: Serengeti,Дикая природа: Серенгети,Wild-Serengeti,
Wingspan,Крылья,wingspan,
Winter Queen,Зимняя королева,Winter-Queen,
World of Warcraft: Wrath of the Lich King,,pandemic-world-of-warcraft,
Yukon Airways,Авиалинии Юкона,yukon-airways,
